time,travel time,sample count
2019-02-16 08:00:00,6.62,472
2019-02-20 05:00:00,6.76,464
2019-02-11 14:00:00,9.51,414
2019-02-12 08:00:00,10.8,419
2019-02-05 18:00:00,9.39,422
2019-02-11 00:00:00,9.86,381
2019-02-27 03:00:00,7.9,405
2019-02-23 12:00:00,13.15,484
2019-02-27 18:00:00,9.44,407
2019-02-17 21:00:00,6.71,467
2019-02-18 12:00:00,7.07,486
2019-02-25 00:00:00,7.58,453
2019-03-02 01:00:00,8.93,392
2019-02-05 04:00:00,11.18,393
2019-02-21 20:00:00,6.4,484
2019-02-05 02:00:00,11.01,349
2019-02-11 22:00:00,9.42,407
2019-02-06 08:00:00,9.2,421
2019-02-03 13:00:00,10.15,397
2019-02-05 20:00:00,9.12,412
2019-02-12 12:00:00,9.75,418
2019-02-09 08:00:00,13.62,391
2019-02-21 03:00:00,6.62,426
2019-02-24 04:00:00,6.87,406
2019-03-02 19:00:00,8.67,405
2019-02-19 02:00:00,6.2,433
2019-02-26 10:00:00,7.25,475
2019-02-26 22:00:00,6.55,478
2019-02-12 20:00:00,9.18,417
2019-03-01 08:00:00,16.3,405
2019-02-23 23:00:00,8.24,354
2019-02-23 20:00:00,8.7,478
2019-02-26 00:00:00,7.4,456
2019-02-22 16:00:00,11.65,484
2019-02-10 17:00:00,9.62,420
2019-02-24 17:00:00,7.1,478
2019-02-24 08:00:00,6.62,468
2019-02-26 23:00:00,6.88,466
2019-02-06 09:00:00,17.82,423
2019-02-22 09:00:00,6.71,481
2019-02-17 22:00:00,7.18,466
2019-02-04 10:00:00,9.31,419
2019-03-01 19:00:00,9.24,401
2019-02-25 07:00:00,6.86,483
2019-02-03 15:00:00,9.85,415
2019-02-05 10:00:00,12.64,413
2019-02-09 23:00:00,10.12,396
2019-02-04 07:00:00,9.33,421
2019-02-04 05:00:00,9.13,401
2019-02-10 04:00:00,9.52,299
2019-02-11 12:00:00,9.21,416
2019-02-18 06:00:00,8.99,471
2019-02-15 15:00:00,8.49,478
2019-03-02 20:00:00,12.29,403
2019-02-10 06:00:00,9.67,361
2019-02-19 16:00:00,7.4,481
2019-02-25 03:00:00,7.58,398
2019-02-25 15:00:00,6.63,478
2019-02-28 10:00:00,9.69,403
2019-02-05 01:00:00,10.66,379
2019-02-21 00:00:00,9.29,462
2019-02-13 03:00:00,9.58,365
2019-02-21 08:00:00,6.78,483
2019-02-05 06:00:00,11.67,412
2019-02-22 04:00:00,6.56,448
2019-02-20 18:00:00,7.35,481
2019-02-11 09:00:00,9.95,384
2019-02-03 01:00:00,9.56,315
2019-02-04 20:00:00,12.71,412
2019-02-13 02:00:00,9.38,384
2019-02-15 02:00:00,6.92,430
2019-02-27 17:00:00,9.44,406
2019-02-06 17:00:00,11.93,421
2019-02-13 00:00:00,9.15,406
2019-02-16 02:00:00,7.44,440
2019-02-20 20:00:00,6.44,478
2019-02-23 19:00:00,6.56,478
2019-02-21 05:00:00,6.76,469
2019-02-04 22:00:00,10.61,412
2019-02-03 11:00:00,10.69,409
2019-02-26 07:00:00,10.08,478
2019-02-22 06:00:00,6.37,483
2019-02-09 12:00:00,11.71,392
2019-02-06 16:00:00,11.28,424
2019-02-09 13:00:00,10.61,412
2019-02-13 11:00:00,9.57,413
2019-03-02 16:00:00,10.41,409
2019-02-25 22:00:00,6.84,474
2019-02-18 21:00:00,7.52,475
2019-02-17 23:00:00,6.87,460
2019-02-04 13:00:00,9.51,419
2019-02-19 17:00:00,9.17,480
2019-02-24 23:00:00,6.86,464
2019-02-25 21:00:00,6.77,472
2019-02-07 04:00:00,9.29,398
