time,travel time,sample count
2019-02-16 08:00:00,5.99,459
2019-02-20 05:00:00,6.04,459
2019-02-11 14:00:00,8.72,391
2019-02-12 08:00:00,16.34,397
2019-02-05 18:00:00,8.29,396
2019-02-11 00:00:00,8.88,357
2019-02-27 03:00:00,6.24,426
2019-02-23 12:00:00,5.9,454
2019-02-27 18:00:00,8.37,381
2019-02-17 21:00:00,6.09,441
2019-02-18 12:00:00,5.84,459
2019-02-25 00:00:00,6.24,425
2019-03-02 01:00:00,11.64,347
2019-02-05 04:00:00,12.06,387
2019-02-21 20:00:00,5.99,438
2019-02-05 02:00:00,11.8,361
2019-02-11 22:00:00,9.24,382
2019-02-06 08:00:00,26.81,398
2019-02-03 13:00:00,8.56,374
2019-02-05 20:00:00,8.64,394
2019-02-12 12:00:00,9.1,394
2019-02-09 08:00:00,12.94,373
2019-02-21 03:00:00,5.97,447
2019-02-24 04:00:00,6.53,431
2019-03-02 19:00:00,8.35,360
2019-02-19 02:00:00,5.94,433
2019-02-26 10:00:00,6.22,459
2019-02-26 22:00:00,6.82,430
2019-02-12 20:00:00,8.34,393
2019-03-01 08:00:00,8.44,365
2019-02-23 23:00:00,10.0,343
2019-02-23 20:00:00,5.91,454
2019-02-26 00:00:00,6.75,406
2019-02-22 16:00:00,6.63,459
2019-02-10 17:00:00,9.9,380
2019-02-24 17:00:00,5.31,459
2019-02-24 08:00:00,6.2,458
2019-02-26 23:00:00,7.31,414
2019-02-06 09:00:00,15.45,398
2019-02-22 09:00:00,6.0,438
2019-02-17 22:00:00,6.35,433
2019-02-04 10:00:00,8.47,398
2019-03-01 19:00:00,8.2,359
2019-02-25 07:00:00,6.14,459
2019-02-03 15:00:00,8.09,391
2019-02-05 10:00:00,9.36,398
2019-02-09 23:00:00,9.5,357
2019-02-04 07:00:00,9.74,398
2019-02-04 05:00:00,8.39,391
2019-02-10 04:00:00,8.89,366
2019-02-11 12:00:00,13.81,385
2019-02-18 06:00:00,6.05,441
2019-02-15 15:00:00,6.27,440
2019-03-02 20:00:00,8.67,364
2019-02-10 06:00:00,8.76,375
2019-02-19 16:00:00,6.99,459
2019-02-25 03:00:00,7.61,438
2019-02-25 15:00:00,6.21,456
2019-02-28 10:00:00,8.94,364
2019-02-05 01:00:00,9.35,344
2019-02-21 00:00:00,7.01,417
2019-02-13 03:00:00,8.47,382
2019-02-21 08:00:00,8.42,459
2019-02-05 06:00:00,53.96,396
2019-02-22 04:00:00,5.98,435
2019-02-20 18:00:00,5.9,459
2019-02-11 09:00:00,8.9,350
2019-02-03 01:00:00,8.06,307
