time,travel time,sample count
2019-03-07 10:00:00,2.82,30
2019-02-19 11:00:00,3.62,58
2019-02-10 19:00:00,2.36,59
2019-03-06 23:00:00,2.17,25
2019-02-28 19:00:00,2.26,31
2019-02-14 22:00:00,2.2,52
2019-03-03 22:00:00,2.15,8
2019-03-01 11:00:00,3.6,60
2019-03-08 07:00:00,4.57,26
2019-02-18 04:00:00,2.11,55
2019-02-24 03:00:00,2.2,59
2019-03-01 23:00:00,2.15,21
2019-02-22 10:00:00,2.76,30
2019-03-06 18:00:00,3.4,21
2019-03-01 01:00:00,2.2,60
2019-03-06 19:00:00,2.29,28
2019-03-02 18:00:00,2.63,15
2019-02-12 09:00:00,5.71,56
2019-03-01 08:00:00,5.65,62
2019-02-22 14:00:00,2.86,30
2019-02-14 18:00:00,2.42,51
2019-02-26 23:00:00,2.5,41
2019-02-17 03:00:00,2.18,52
2019-03-02 00:00:00,2.15,47
2019-02-22 23:00:00,2.19,60
2019-02-16 11:00:00,4.25,53
2019-02-25 12:00:00,2.3,60
2019-02-23 23:00:00,2.17,30
2019-02-20 00:00:00,2.2,27
2019-02-14 11:00:00,4.13,52
2019-02-23 21:00:00,2.25,30
2019-03-03 18:00:00,2.28,31
2019-03-04 04:00:00,2.08,60
2019-02-16 02:00:00,2.18,34
2019-02-23 06:00:00,2.14,60
2019-02-21 22:00:00,2.03,28
2019-02-23 12:00:00,4.1,34
2019-02-10 18:00:00,2.49,60
2019-02-19 02:00:00,2.13,55
2019-02-26 11:00:00,2.74,37
2019-02-14 12:00:00,4.33,54
2019-02-23 04:00:00,2.13,60
2019-02-10 20:00:00,2.33,62
2019-03-01 13:00:00,4.32,60
2019-02-12 00:00:00,2.22,58
2019-02-20 23:00:00,2.17,26
2019-02-24 00:00:00,2.22,3
2019-02-28 17:00:00,6.45,34
2019-02-14 23:00:00,2.19,56
2019-02-23 03:00:00,2.17,60
2019-02-25 08:00:00,2.44,60
2019-02-19 04:00:00,2.05,56
2019-02-21 12:00:00,3.2,30
2019-02-20 13:00:00,3.64,27
2019-03-09 06:00:00,2.09,25
2019-02-25 21:00:00,2.29,60
2019-02-28 13:00:00,3.84,59
2019-02-10 01:00:00,2.43,60
2019-03-06 15:00:00,3.45,30
2019-03-02 02:00:00,2.17,60
2019-03-08 18:00:00,1.2,6
2019-02-12 14:00:00,2.64,31
2019-02-26 12:00:00,2.59,58
2019-03-09 14:00:00,0.32,1
2019-02-13 13:00:00,2.29,54
2019-03-05 08:00:00,4.6,44
2019-03-02 07:00:00,2.12,60
2019-03-01 14:00:00,3.23,59
2019-02-23 07:00:00,2.13,60
2019-02-16 06:00:00,2.14,47
2019-02-27 23:00:00,2.18,60
2019-02-24 23:00:00,2.14,31
2019-02-24 15:00:00,2.23,60
2019-02-28 20:00:00,2.23,33
2019-02-27 08:00:00,2.57,60
2019-02-13 20:00:00,2.19,51
2019-02-17 12:00:00,2.32,53
2019-03-02 19:00:00,2.27,26
2019-02-13 11:00:00,2.34,54
2019-02-28 04:00:00,2.1,62
2019-02-15 19:00:00,2.39,36
2019-02-13 21:00:00,2.19,50
2019-03-04 16:00:00,4.36,26
2019-02-22 02:00:00,2.18,30
2019-02-25 16:00:00,2.42,60
2019-02-28 02:00:00,2.21,60
2019-02-15 05:00:00,2.26,52
2019-02-22 17:00:00,6.39,60
2019-02-21 16:00:00,4.09,32
2019-02-27 07:00:00,2.92,60
2019-02-24 18:00:00,2.29,60
2019-02-18 22:00:00,2.18,27
2019-02-12 08:00:00,7.04,45
2019-02-22 18:00:00,3.44,60
2019-02-27 09:00:00,3.55,62
2019-03-03 04:00:00,2.18,60
2019-03-08 09:00:00,4.77,8
2019-02-15 06:00:00,2.9,53
2019-02-10 11:00:00,2.25,61
2019-02-17 11:00:00,2.22,55
2019-02-25 11:00:00,2.31,60
2019-02-12 11:00:00,2.57,40
2019-02-24 16:00:00,2.22,60
2019-03-04 17:00:00,5.71,26
2019-02-14 01:00:00,2.17,51
2019-02-21 21:00:00,1.64,31
2019-03-03 05:00:00,2.15,60
2019-03-01 02:00:00,2.18,62
2019-03-01 16:00:00,5.4,51
2019-02-10 15:00:00,2.36,60
2019-02-28 08:00:00,5.22,58
2019-03-09 19:00:00,1.16,27
2019-02-11 11:00:00,2.56,61
2019-03-01 22:00:00,2.21,18
2019-02-27 05:00:00,2.76,60
2019-02-27 03:00:00,2.41,60
2019-03-06 07:00:00,4.4,60
2019-02-14 06:00:00,3.33,53
2019-02-12 06:00:00,3.34,61
2019-03-10 00:00:00,0.98,2
2019-02-22 13:00:00,3.57,30
2019-02-28 18:00:00,3.75,35
2019-02-21 15:00:00,4.33,33
2019-03-02 03:00:00,2.15,60
2019-02-14 20:00:00,2.28,56
2019-02-11 06:00:00,3.05,61
2019-02-11 23:00:00,2.24,60
2019-02-19 08:00:00,5.0,56
2019-02-25 05:00:00,2.44,60
2019-02-20 16:00:00,3.72,27
2019-03-07 00:00:00,2.19,31
2019-03-03 03:00:00,2.17,60
2019-02-24 08:00:00,2.17,60
2019-02-11 00:00:00,2.28,60
2019-03-05 21:00:00,2.17,30
2019-02-19 14:00:00,2.62,54
