time,travel time,sample count
2019-03-07 10:00:00,2.43,30
2019-02-19 11:00:00,2.46,58
2019-02-10 19:00:00,2.37,59
2019-03-06 23:00:00,2.23,25
2019-02-28 19:00:00,2.27,31
2019-02-14 22:00:00,2.29,52
2019-03-03 22:00:00,1.66,8
2019-03-01 11:00:00,2.23,60
2019-03-08 07:00:00,2.32,26
2019-02-18 04:00:00,2.2,55
2019-02-24 03:00:00,1.71,60
2019-03-01 23:00:00,1.68,21
2019-02-22 10:00:00,1.79,30
2019-03-06 18:00:00,3.58,20
2019-03-01 01:00:00,1.68,60
2019-03-06 19:00:00,2.53,27
2019-03-02 18:00:00,2.03,15
2019-02-12 09:00:00,2.48,56
2019-03-01 08:00:00,1.78,62
2019-02-22 14:00:00,2.64,30
2019-02-14 18:00:00,3.93,51
2019-02-26 23:00:00,1.88,36
2019-02-17 03:00:00,2.22,52
2019-03-02 00:00:00,1.67,47
2019-02-22 23:00:00,1.68,60
2019-02-16 11:00:00,2.77,53
2019-02-25 12:00:00,1.74,60
2019-02-23 23:00:00,1.68,30
2019-02-20 00:00:00,2.27,27
2019-02-14 11:00:00,3.37,52
2019-02-23 21:00:00,1.75,30
2019-03-03 18:00:00,1.83,31
2019-03-04 04:00:00,1.64,60
2019-02-16 02:00:00,2.3,28
2019-02-23 06:00:00,1.6,60
2019-02-21 22:00:00,1.63,27
2019-02-23 12:00:00,2.53,34
2019-02-10 18:00:00,2.42,60
2019-02-19 02:00:00,2.24,56
2019-02-26 11:00:00,1.92,31
2019-02-14 12:00:00,3.27,54
2019-02-23 04:00:00,1.64,60
2019-02-10 20:00:00,2.33,62
2019-03-01 13:00:00,2.56,60
2019-02-12 00:00:00,2.31,58
2019-02-20 23:00:00,1.64,26
2019-02-24 00:00:00,1.67,3
2019-02-28 17:00:00,4.14,34
2019-02-14 23:00:00,2.29,56
2019-02-23 03:00:00,1.66,60
2019-02-25 08:00:00,1.74,60
2019-02-19 04:00:00,2.13,55
2019-02-21 12:00:00,2.31,30
2019-02-20 13:00:00,2.18,27
2019-03-09 06:00:00,2.17,25
2019-02-25 21:00:00,1.71,60
2019-02-28 13:00:00,2.02,59
2019-02-10 01:00:00,2.35,60
2019-03-06 15:00:00,3.43,29
2019-03-02 02:00:00,1.65,60
2019-02-12 14:00:00,6.76,31
2019-02-26 12:00:00,1.83,34
2019-02-13 13:00:00,2.44,54
2019-03-05 08:00:00,1.74,44
2019-03-02 07:00:00,1.61,60
2019-03-01 14:00:00,2.85,59
2019-02-23 07:00:00,1.59,60
2019-02-16 06:00:00,2.2,36
2019-02-27 23:00:00,1.64,60
2019-02-24 23:00:00,1.65,31
2019-02-24 15:00:00,1.76,60
2019-02-28 20:00:00,1.75,33
2019-02-27 08:00:00,1.86,60
2019-02-13 20:00:00,2.32,31
2019-02-17 12:00:00,2.46,53
2019-03-02 19:00:00,1.8,26
2019-02-13 11:00:00,2.44,54
2019-02-28 04:00:00,1.62,62
2019-02-15 19:00:00,2.62,35
2019-02-13 21:00:00,2.28,33
2019-03-04 16:00:00,3.13,26
2019-02-22 02:00:00,1.65,30
2019-02-25 16:00:00,2.56,60
2019-02-28 02:00:00,1.67,60
2019-02-15 05:00:00,2.19,52
2019-02-22 17:00:00,3.72,60
2019-02-21 16:00:00,3.72,20
2019-02-27 07:00:00,1.9,60
2019-02-24 18:00:00,1.73,60
2019-02-18 22:00:00,2.24,27
2019-02-12 08:00:00,2.46,44
2019-02-22 18:00:00,2.61,60
2019-02-27 09:00:00,1.82,62
2019-03-03 04:00:00,1.66,60
2019-03-08 09:00:00,2.53,8
2019-02-15 06:00:00,2.28,52
2019-02-10 11:00:00,2.26,61
2019-02-17 11:00:00,2.31,55
2019-02-25 11:00:00,1.75,60
2019-02-12 11:00:00,2.52,40
2019-02-24 16:00:00,1.76,60
2019-03-04 17:00:00,2.69,26
2019-02-14 01:00:00,2.28,51
2019-02-21 21:00:00,1.69,22
2019-03-03 05:00:00,1.64,60
2019-03-01 02:00:00,1.68,62
2019-03-01 16:00:00,3.54,51
2019-02-10 15:00:00,2.29,60
2019-02-28 08:00:00,1.75,58
2019-03-09 19:00:00,2.89,3
2019-02-11 11:00:00,2.46,61
2019-03-01 22:00:00,1.71,18
2019-02-27 05:00:00,1.92,60
2019-02-27 03:00:00,1.79,59
2019-03-06 07:00:00,1.71,60
2019-02-14 06:00:00,2.37,53
2019-02-12 06:00:00,2.38,61
2019-02-22 13:00:00,2.31,30
2019-02-28 18:00:00,2.58,35
2019-02-21 15:00:00,3.6,26
2019-03-02 03:00:00,1.66,60
2019-02-14 20:00:00,2.38,56
2019-02-11 06:00:00,2.36,61
