stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
5208,55,36.15,Salmon CR SB,,,205es03616:_MS,-122.640267,45.71191,"{""bounds"": ""[)"", ""lower"": ""2017-04-06"", ""upper"": null}"
3154,10,0.25,Wilshire (2DS043) @ SB OR 217 MP0.25,0.185,,321,-122.78043,45.50622,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
10522,610,304.4,Alberta HOV (2R003) to NB I-5,0.62,,388,-122.67814,45.56172,"{""bounds"": ""[)"", ""lower"": ""2017-12-04"", ""upper"": null}"
10285,608,6.7,102nd off-ramp (2DS020) @ EB I-84 MP6.7,31.745,,285,-122.55889,45.54448,"{""bounds"": ""[)"", ""lower"": ""2015-11-12"", ""upper"": null}"
10358,608,5.82,Halsey off-ramp (2DS019) @ EB I-84 MP5.82,0.94,,358,-122.5659,45.53213,"{""bounds"": ""[)"", ""lower"": ""2015-11-12"", ""upper"": null}"
1010,1,295.18,Capitol (2R306) to NB I-5,1.26,,157,-122.72042,45.45293,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1004,1,289.63,WB Nyberg Slip (2R312) to NB I-5,0.57,,383,-122.7511,45.38279,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1011,1,296.26,Spring Garden (2R305) to NB I-5,0.71,,158,-122.69942,45.46213,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1008,1,293.18,Haines (2R308) to NB I-5,0.78,,155,-122.7431,45.43495,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1007,1,292.18,OR 217/Kruse Way (2R317) to NB I-5,0.785,,83,-122.74224,45.42213,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1009,1,293.74,99W (2R307) to NB I-5,1.0,,156,-122.74179,45.4429,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1039,2,290.4,Lower Boones (2R321) to SB I-5,0.935,,86,-122.74824,45.39565,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
