time,95% travel time (12 weeks),80% travel time (12 weeks),20% travel time (12 weeks),5% travel time (12 weeks),avg travel time (12 weeks),all four weeks (avg sample count)
Sun 17,10.72,9.46,8.4,6.49,9.35,449.5
Sat 14,10.51,9.45,8.49,6.79,10.16,446.5
Sat 01,11.42,10.0,8.36,6.72,9.5,417.25
Sat 06,14.59,10.06,8.28,6.58,10.57,428.5
Thu 09,10.12,9.49,7.8,6.33,8.8,447.75
Tue 08,13.29,10.35,8.63,6.62,9.71,446.5
Wed 11,11.36,9.58,8.79,6.76,9.4,428.25
Wed 04,13.18,10.47,8.06,6.32,9.7,420.0
Sat 11,12.11,9.57,8.4,6.28,9.15,438.75
Tue 19,11.14,9.65,7.82,6.48,8.84,448.25
Sat 02,13.76,10.72,8.0,6.51,10.85,406.25
Mon 05,11.37,9.94,8.45,6.48,10.26,433.25
Tue 10,13.03,9.99,8.51,6.53,9.54,447.25
Thu 23,11.05,9.69,7.99,6.4,9.64,434.0
Wed 02,12.75,10.29,8.04,6.4,10.1,409.25
Wed 12,11.47,9.51,8.75,6.55,9.31,431.5
Sat 08,15.21,9.8,8.43,6.25,10.26,433.75
Fri 18,16.44,12.48,8.75,6.92,11.71,445.75
Sun 13,10.63,9.74,8.56,6.27,8.98,446.25
Sun 14,10.52,9.62,8.47,6.31,8.83,449.0
Tue 20,10.41,9.34,7.72,6.28,9.0,446.25
Wed 05,11.9,9.74,8.15,6.54,9.17,435.5
Fri 15,17.56,15.86,9.72,8.07,13.91,448.0
Thu 15,14.2,11.84,9.11,7.32,10.32,445.25
Mon 23,12.55,10.25,8.48,6.51,9.69,434.5
Thu 19,13.28,10.36,8.49,6.59,11.5,445.5
Sun 01,12.34,10.09,7.9,6.03,9.47,376.75
Sun 03,16.71,9.93,7.99,6.01,11.84,340.75
Thu 11,10.66,9.56,7.94,6.34,8.91,446.75
Mon 15,14.11,10.88,8.82,6.55,10.01,451.0
Tue 21,10.36,9.26,7.46,6.24,8.58,445.25
Wed 00,13.59,10.19,8.02,6.32,10.27,431.75
Wed 10,10.09,9.58,8.66,6.54,8.85,442.0
Mon 14,10.18,9.65,8.63,6.65,9.0,449.5
Tue 13,10.94,9.75,8.6,6.45,9.56,450.5
Sat 20,10.95,9.52,8.39,6.4,9.76,440.5
Wed 16,18.96,14.3,10.37,9.35,12.47,432.75
Tue 07,12.01,10.41,8.72,6.43,9.83,447.75
Sun 02,11.25,9.78,7.79,5.74,10.18,371.75
Tue 03,11.16,9.92,7.96,5.74,10.93,396.75
Mon 21,11.18,9.52,8.45,6.43,8.89,443.0
Sun 06,11.73,9.84,7.82,6.15,9.68,403.75
Wed 03,11.7,10.16,8.07,6.18,10.08,392.75
Sun 08,11.12,9.76,7.79,6.09,8.81,431.0
Tue 17,16.15,13.38,9.11,8.51,11.56,420.5
Fri 14,17.77,11.76,8.92,6.65,10.39,449.0
Mon 12,10.93,9.58,8.59,6.69,9.06,450.25
Mon 07,13.4,9.86,8.76,6.75,9.57,448.75
Mon 18,13.66,10.85,8.73,6.68,9.91,451.25
Thu 13,10.57,9.59,8.68,6.74,9.75,443.75
Sat 13,10.51,9.41,8.41,6.43,8.74,441.25
Fri 04,11.21,10.06,8.06,6.36,9.48,416.0
Tue 05,11.49,10.31,8.13,6.55,9.88,434.25
Tue 00,11.8,10.24,8.06,6.59,10.0,426.75
Sun 11,10.66,9.34,8.34,6.26,9.41,446.0
Mon 13,10.99,9.63,8.62,6.54,9.2,448.75
Sun 15,11.01,9.48,6.93,2.47,9.31,449.0
Fri 17,18.09,15.49,10.45,6.9,12.7,447.25
Wed 15,14.7,11.29,9.15,6.94,10.18,432.25
Sun 16,10.42,9.43,6.6,2.5,8.4,449.0
Mon 01,11.63,10.14,7.96,5.64,9.61,402.5
Mon 19,12.19,9.5,8.5,6.43,9.2,446.0
Fri 13,12.79,9.6,8.87,6.55,9.68,450.0
Thu 01,11.69,10.38,8.42,7.19,9.73,400.25
Fri 11,17.8,9.64,7.28,6.5,10.71,445.0
Sat 23,12.54,9.81,8.1,6.46,9.31,402.5
Tue 22,11.0,9.73,7.63,6.08,9.13,440.5
Thu 17,15.01,13.77,10.74,8.48,13.24,449.25
Sun 21,11.26,9.6,8.37,6.16,8.9,439.75
Fri 05,11.25,9.75,8.26,6.3,9.17,436.25
Sun 12,10.12,9.24,8.44,6.23,8.74,442.25
Sat 17,11.34,9.91,8.53,6.48,9.23,446.5
Thu 06,11.36,9.69,8.73,6.37,10.12,428.75
Fri 23,10.66,9.46,8.53,6.56,9.36,439.25
Fri 09,15.92,9.75,8.34,6.53,9.44,445.75
Tue 14,11.14,10.16,8.62,6.83,9.43,451.25
Fri 19,16.3,10.7,8.53,6.68,10.76,446.5
Thu 05,11.97,9.97,8.54,6.58,9.5,419.25
Sun 00,11.24,9.98,7.77,6.26,9.54,400.25
Sat 16,11.31,9.51,8.53,6.43,8.99,446.5
Mon 17,16.76,12.31,9.09,6.43,10.69,453.25
Thu 12,10.21,9.58,8.62,6.42,9.64,446.5
Wed 14,12.3,9.75,8.94,6.87,9.73,431.0
Fri 06,10.73,9.43,8.37,6.29,8.96,444.75
Sat 10,13.54,9.61,8.41,6.39,9.36,441.75
Fri 22,10.88,9.46,8.35,6.52,8.86,443.75
Wed 08,10.82,9.57,8.65,6.5,9.2,449.5
Sat 19,10.76,9.44,8.42,6.47,8.97,442.0
Mon 04,12.49,10.25,7.92,6.24,10.51,419.75
Wed 19,12.07,10.36,8.65,6.31,9.41,431.0
Wed 06,11.12,9.73,8.64,6.44,9.15,445.25
Fri 07,10.59,9.48,8.28,6.4,9.56,447.0
Sat 18,10.98,9.81,8.5,6.41,9.05,445.0
Thu 08,11.42,9.56,7.52,6.45,9.64,449.25
Sun 23,12.73,9.96,8.15,6.35,9.7,429.5
Sat 22,10.75,9.57,8.39,6.28,9.2,440.0
Mon 22,11.08,9.73,8.46,6.33,9.73,440.5
Sat 03,15.48,10.47,7.87,6.16,10.55,390.0
Fri 01,11.91,10.24,8.0,6.27,10.84,415.75
Sun 09,9.77,9.04,7.36,6.07,8.33,436.5
Mon 09,10.61,9.42,8.59,6.41,8.9,439.0
Mon 03,12.45,9.83,8.02,6.11,10.74,384.0
Tue 02,13.58,10.19,7.96,5.84,10.49,396.25
