time,95% travel time (12 weeks),80% travel time (12 weeks),20% travel time (12 weeks),5% travel time (12 weeks),avg travel time (12 weeks),all four weeks (avg sample count)
Sun 17,8.87,8.54,7.05,5.21,7.79,422.5
Sat 14,10.27,8.98,7.83,5.69,8.2,415.5
Sat 01,11.51,9.38,7.77,5.9,9.28,386.5
Sat 06,12.2,9.2,7.87,5.72,8.5,408.25
Thu 09,10.22,9.0,6.61,5.67,8.34,424.75
Tue 08,38.84,18.2,7.81,6.04,14.06,422.75
Wed 11,13.23,9.25,8.17,5.93,8.81,398.0
Wed 04,10.31,9.04,7.75,5.66,8.61,418.25
Sat 11,11.25,8.94,7.91,5.71,8.93,412.25
Tue 19,9.05,8.44,6.21,5.53,8.6,422.5
Sat 02,13.52,9.91,7.62,5.88,9.17,380.5
Mon 05,8.93,8.45,7.85,5.61,9.41,417.25
Tue 10,9.72,8.96,7.62,5.91,8.25,428.25
Thu 23,10.08,8.95,7.82,5.67,8.36,399.5
Wed 02,10.56,9.7,7.56,5.95,8.85,398.75
Wed 12,11.34,9.1,8.11,6.02,8.78,400.25
Sat 08,12.54,8.53,7.74,5.64,8.18,413.0
Fri 18,10.69,8.87,7.97,5.66,9.09,416.0
Sun 13,9.41,8.69,7.8,5.47,8.67,413.5
Sun 14,9.7,8.54,7.75,5.3,8.9,415.25
Tue 20,9.05,8.49,6.72,5.74,7.79,417.75
Wed 05,9.48,8.7,7.85,5.7,8.12,423.0
Fri 15,17.43,13.3,8.12,5.94,10.08,411.5
Thu 15,9.39,8.6,5.96,5.51,7.84,409.25
Mon 23,11.36,9.44,7.91,5.86,9.02,404.25
Thu 19,9.33,8.43,7.63,5.42,8.16,411.25
Sun 01,10.18,9.13,7.11,5.54,8.31,368.75
Sun 03,9.93,9.09,7.6,5.6,8.23,363.5
Thu 11,12.19,8.76,6.14,5.67,8.2,413.75
Mon 15,9.46,8.72,7.83,5.66,8.31,422.25
Tue 21,9.53,8.75,6.66,5.68,7.99,417.75
Wed 00,10.57,9.65,7.51,5.52,9.16,395.25
Wed 10,12.64,8.86,8.04,5.9,8.76,415.75
Mon 14,9.16,8.63,7.83,5.71,8.02,422.5
Tue 13,9.15,8.7,7.62,5.9,8.2,427.25
Sat 20,9.37,8.63,7.75,5.61,9.2,412.75
Wed 16,11.24,9.22,8.04,6.01,8.7,397.75
Tue 07,60.05,20.45,8.95,6.55,17.93,422.5
Sun 02,10.87,9.16,7.12,5.68,8.16,361.25
Tue 03,11.95,10.01,7.93,5.55,8.75,412.25
Mon 21,10.23,8.97,7.88,5.64,8.66,422.75
Sun 06,10.68,9.09,7.83,5.68,8.45,399.75
Wed 03,10.35,9.45,7.9,5.82,8.67,409.75
Sun 08,9.57,8.64,7.59,5.6,7.95,414.75
Tue 17,9.95,8.65,6.85,5.78,8.61,395.25
Fri 14,15.89,11.34,8.12,5.75,9.39,408.25
Mon 12,9.3,8.66,8.03,5.75,8.5,424.25
Mon 07,14.08,10.73,7.91,6.0,9.37,422.5
Mon 18,9.35,8.67,7.81,5.54,9.81,427.0
Thu 13,9.35,8.79,7.93,5.84,8.2,408.5
Sat 13,11.84,9.3,7.79,5.71,8.44,412.0
Fri 04,10.46,9.27,7.85,5.75,8.76,412.0
Tue 05,13.45,9.08,7.87,5.6,8.68,427.75
Tue 00,11.76,9.31,7.83,6.09,10.11,395.5
Sun 11,8.83,8.32,7.72,5.57,7.83,420.0
Mon 13,9.3,8.82,7.94,5.81,8.14,427.0
Sun 15,9.02,8.37,5.57,2.48,7.34,420.5
Fri 17,18.39,10.18,8.18,5.79,9.79,416.0
