time,95% travel time (12 weeks),80% travel time (12 weeks),20% travel time (12 weeks),5% travel time (12 weeks),avg travel time (12 weeks),all four weeks (avg sample count)
Sun 17,4.65,4.34,3.63,2.92,3.95,468.75
Sat 14,4.91,4.65,3.25,2.83,4.11,472.25
Sat 01,5.62,5.06,4.09,3.33,4.53,445.5
Sat 06,6.56,4.69,3.98,3.11,4.44,449.5
Thu 09,4.33,4.26,3.05,2.95,3.9,470.75
Tue 08,5.42,4.32,3.08,2.92,4.03,469.0
Wed 11,4.51,4.36,3.03,2.95,3.94,467.0
Wed 04,5.99,5.11,4.27,3.29,5.19,450.75
Sat 11,4.26,4.12,3.93,2.82,3.86,461.5
Tue 19,5.53,4.21,3.15,2.93,3.98,469.0
Sat 02,6.54,5.07,4.23,3.35,4.73,433.0
Mon 05,5.26,4.76,3.71,3.1,4.6,456.0
Tue 10,4.42,4.29,3.08,2.98,3.89,469.0
Thu 23,4.63,4.38,4.02,2.95,4.07,462.0
Wed 02,6.18,5.34,4.29,3.31,4.91,436.0
Wed 12,4.54,4.41,3.02,2.94,3.97,470.5
Sat 08,6.96,3.99,3.83,2.79,4.04,456.25
Fri 18,5.45,4.95,3.2,2.99,4.51,483.25
Sun 13,4.92,4.75,3.68,2.87,4.05,461.75
Sun 14,4.91,4.67,3.65,2.85,4.08,465.25
Tue 20,4.37,4.14,2.95,2.87,3.82,469.0
Wed 05,5.74,4.82,4.1,3.07,4.4,464.5
Fri 15,5.1,4.72,3.04,2.92,4.27,481.25
Thu 15,4.94,4.68,3.01,2.91,4.11,478.25
Mon 23,5.58,4.71,3.98,3.48,4.38,463.0
Thu 19,5.04,4.78,3.96,2.95,4.23,467.0
Sun 01,5.29,4.8,3.44,2.41,4.19,398.5
Sun 03,6.59,5.39,4.09,2.9,4.88,376.5
Thu 11,4.75,4.43,3.1,2.99,4.04,468.75
Mon 15,4.82,4.72,4.08,2.95,4.38,468.25
Tue 21,4.24,4.12,2.93,2.86,3.79,469.0
Wed 00,5.6,5.1,4.11,3.16,4.5,462.0
Wed 10,5.73,4.3,3.12,2.93,4.1,466.5
Mon 14,4.83,4.62,4.05,2.95,4.27,469.0
Tue 13,4.72,4.44,3.76,2.96,4.01,468.75
Sat 20,4.24,4.12,3.94,2.84,3.88,461.25
Wed 16,5.24,4.76,3.18,3.04,4.31,472.5
Tue 07,5.68,4.45,3.06,2.91,4.11,469.0
Sun 02,5.3,4.94,3.03,1.55,4.03,401.0
Tue 03,6.98,5.89,4.51,3.92,5.25,400.5
Mon 21,4.78,4.21,3.92,2.96,4.01,467.75
Sun 06,5.37,4.95,3.81,3.2,4.41,429.0
Wed 03,6.74,5.26,4.48,3.45,4.98,422.5
Sun 08,4.45,4.14,3.42,2.87,3.83,457.0
Tue 17,5.18,4.8,3.84,3.08,4.26,441.75
Fri 14,4.92,4.75,3.84,2.94,4.31,470.25
Mon 12,4.66,4.39,4.01,2.94,4.13,469.0
Mon 07,5.09,4.25,3.62,2.92,4.04,468.25
Mon 18,4.91,4.75,4.01,2.9,4.23,467.75
Thu 13,4.84,4.66,4.07,2.94,4.17,464.0
Sat 13,4.78,4.55,3.96,2.83,4.04,461.5
Fri 04,6.01,5.32,4.47,3.71,5.12,441.75
Tue 05,6.18,5.23,3.8,3.24,4.55,455.5
Tue 00,5.9,5.37,4.25,3.98,4.79,445.75
Sun 11,4.12,4.03,3.49,2.78,3.74,464.75
Mon 13,4.73,4.53,4.0,2.95,4.18,469.25
Sun 15,4.78,4.27,2.89,2.12,3.79,466.5
Fri 17,5.74,4.92,3.29,3.08,4.5,483.25
Wed 15,4.9,4.68,3.01,2.92,4.13,476.25
Sun 16,4.85,4.39,2.93,1.88,3.78,468.0
Mon 01,6.12,5.39,3.98,3.43,5.01,432.25
Mon 19,4.6,4.15,3.9,2.86,3.96,469.25
Fri 13,4.94,4.74,3.71,2.92,4.27,470.25
Thu 01,5.77,5.16,4.29,3.35,4.7,442.75
Fri 11,4.59,4.39,4.09,2.97,4.09,463.5
Sat 23,4.47,4.16,2.88,2.25,3.73,434.0
Tue 22,4.43,4.24,2.98,2.87,3.86,470.5
Thu 17,9.05,4.99,4.45,3.12,5.03,483.25
Sun 21,4.46,4.11,3.39,2.84,3.8,467.25
Fri 05,5.22,4.77,4.17,3.37,4.45,457.25
Sun 12,4.46,4.14,3.45,2.78,3.83,456.5
Sat 17,4.89,4.7,3.92,2.88,4.2,463.5
Thu 06,4.38,4.26,3.99,2.93,3.92,469.25
Fri 23,4.59,4.27,3.91,2.86,3.95,461.5
Fri 09,4.24,4.19,3.96,2.94,3.93,461.5
Tue 14,4.88,4.64,3.8,2.99,4.17,469.0
Fri 19,4.95,4.81,3.1,2.88,4.13,475.0
Thu 05,5.38,4.72,4.12,3.11,4.3,466.75
Sun 00,5.04,4.56,3.94,2.89,4.11,439.25
Sat 16,4.85,4.63,3.96,2.87,4.24,461.75
Mon 17,5.19,4.83,4.1,3.09,4.44,469.0
Thu 12,4.86,4.65,3.08,2.95,4.12,462.75
Wed 14,5.15,4.68,3.04,2.95,4.35,476.0
