time,95% travel time (26 weeks),80% travel time (26 weeks),20% travel time (26 weeks),5% travel time (26 weeks),avg travel time (26 weeks),all four weeks (avg sample count)
Sat 06,3.68,2.23,2.1,2.07,2.33,48.0
Wed 13,4.65,3.36,2.32,2.26,2.94,44.75
Sun 10,6.84,3.62,2.2,2.14,3.0,58.25
Sat 02,2.32,2.23,2.13,2.09,2.19,45.75
Tue 23,2.3,2.22,2.12,1.47,2.13,37.0
Wed 09,5.95,4.39,2.43,2.32,3.59,55.25
Wed 23,2.27,2.22,2.13,2.1,2.18,39.0
Thu 06,6.08,4.43,2.38,2.21,3.52,42.25
Fri 10,4.66,3.97,2.45,2.3,3.22,39.5
Sun 23,2.26,2.19,2.13,2.1,2.16,31.75
Fri 14,5.42,4.15,2.38,2.27,3.4,47.67
Sat 10,9.07,7.01,2.23,2.18,4.26,56.33
Sat 07,4.14,3.16,2.12,2.08,2.56,50.25
Thu 16,6.97,5.4,2.47,2.28,4.14,31.75
Sun 01,2.33,2.23,2.13,2.1,2.19,56.5
Thu 22,2.28,2.22,2.13,2.1,2.26,32.33
Sun 22,2.35,2.21,2.13,2.11,2.21,25.5
Mon 07,6.7,5.62,3.1,2.21,4.53,56.0
Thu 15,6.24,4.46,2.53,2.24,3.76,32.0
Sun 02,2.31,2.24,2.13,2.1,2.19,59.0
Mon 08,5.97,5.2,2.39,2.16,4.12,55.75
Fri 18,4.75,3.02,2.36,2.28,2.84,38.5
Sat 22,2.75,2.32,2.15,1.02,2.23,32.25
Sat 03,2.3,2.2,2.11,2.08,2.19,45.5
Wed 08,10.49,5.72,3.61,2.49,5.01,55.75
Wed 21,3.09,2.3,2.16,2.14,2.4,40.25
Thu 17,7.9,5.87,2.42,2.28,4.17,39.0
Sat 05,2.65,2.19,2.08,2.04,2.2,47.25
Fri 20,3.77,2.49,2.23,2.13,2.46,40.0
Sat 04,2.27,2.19,2.09,2.06,2.17,48.0
Fri 03,2.21,2.16,2.07,2.04,2.12,39.25
Tue 17,7.03,5.25,2.28,2.2,3.65,42.5
Sat 14,10.28,7.96,2.46,2.26,4.93,29.25
Fri 16,7.21,5.04,2.64,2.32,4.04,38.25
Tue 10,5.02,3.76,2.33,1.92,3.37,44.25
Tue 13,3.95,3.07,2.25,2.12,2.61,49.5
Thu 19,2.43,2.31,2.22,2.17,2.26,29.5
Tue 00,2.31,2.24,2.13,2.1,2.19,53.25
Mon 12,4.46,3.27,2.28,2.19,2.78,57.75
Fri 02,2.26,2.2,2.09,2.05,2.15,45.0
Mon 14,5.31,3.56,2.28,2.21,3.16,51.5
Wed 06,5.36,4.57,2.42,2.22,3.44,54.5
Fri 17,7.36,5.26,2.54,2.38,3.84,37.25
Fri 09,5.03,4.31,2.48,2.32,3.43,38.0
Sat 23,2.4,2.25,2.13,2.08,2.16,35.0
Thu 00,2.29,2.23,2.13,2.11,2.18,42.75
Tue 01,2.37,2.25,2.13,2.08,2.19,58.25
Sat 09,8.19,5.5,2.18,2.12,3.66,46.25
Thu 05,3.63,2.79,2.12,2.07,2.51,42.0
Wed 10,4.56,3.65,2.35,2.29,2.99,54.75
Sat 15,9.59,7.7,2.49,2.25,4.8,29.0
Tue 06,5.28,4.5,2.47,2.12,3.49,51.0
Tue 09,6.84,4.72,2.41,2.05,4.32,51.0
Mon 04,2.52,2.2,2.06,2.03,2.17,56.75
Thu 14,5.36,4.16,2.4,2.26,3.42,38.25
Tue 07,8.4,5.92,3.85,2.13,5.05,40.75
Fri 06,5.52,4.12,2.36,2.22,3.27,43.0
Fri 13,5.36,4.41,2.68,2.33,3.64,46.67
Tue 20,2.93,2.33,2.18,2.13,2.54,49.5
Mon 11,3.89,2.85,2.28,2.19,2.58,58.25
Sat 01,2.31,2.25,2.14,2.1,2.19,44.25
Mon 03,2.19,2.16,2.07,2.03,2.1,49.25
Thu 10,4.7,3.83,2.37,2.3,3.13,42.75
Fri 07,6.59,5.25,3.15,2.28,4.34,42.5
Wed 20,2.51,2.3,2.19,2.15,2.27,40.5
Thu 20,2.79,2.32,2.19,2.14,2.26,38.67
Mon 21,2.38,2.27,2.16,2.13,2.23,43.75
Tue 15,4.87,3.77,2.25,2.15,3.01,50.75
Thu 12,4.39,3.86,2.4,2.27,3.11,43.0
Sat 00,2.34,2.26,2.14,2.11,2.19,41.25
Sat 17,9.43,7.39,2.56,2.33,4.44,31.75
Wed 03,2.28,2.15,2.06,1.39,2.06,54.0
Wed 05,3.72,2.9,2.15,2.04,2.58,54.0
Sun 12,8.78,5.61,2.29,2.2,3.95,57.75
Mon 19,2.38,2.3,2.19,2.16,2.25,45.75
Fri 11,4.66,4.14,2.55,2.3,3.43,36.25
Sun 19,4.72,2.39,2.22,2.17,2.56,42.25
Fri 22,4.84,2.29,2.16,1.69,2.47,33.75
Mon 22,2.99,2.26,2.13,2.11,2.25,42.75
Wed 00,2.71,2.24,2.13,1.47,2.18,48.75
Fri 00,2.26,2.22,2.13,2.1,2.17,40.5
Tue 12,3.48,2.79,2.26,1.92,2.51,50.25
Tue 14,4.07,2.89,2.25,2.12,2.63,51.25
Mon 13,3.98,3.27,2.29,2.21,2.73,55.5
Mon 17,8.41,5.29,2.29,2.24,3.74,47.0
Mon 09,4.66,3.85,2.3,2.17,2.97,57.5
Thu 08,7.64,5.67,4.32,2.29,5.06,40.5
Sun 06,2.28,2.2,2.09,2.07,2.14,59.0
Fri 05,3.56,2.73,2.14,2.07,2.49,43.0
Tue 18,4.63,2.47,2.23,2.16,2.57,49.5
Tue 16,6.38,4.6,2.28,2.19,3.52,47.75
Wed 16,6.11,5.16,2.38,2.26,3.85,43.25
Fri 21,3.86,2.41,2.22,2.14,2.71,40.25
Mon 18,4.09,2.48,2.23,2.2,2.55,46.0
Thu 02,2.24,2.2,2.09,2.05,2.15,43.25
Wed 19,2.73,2.32,2.23,2.18,2.32,38.25
Sun 07,2.26,2.2,2.09,2.06,2.17,57.0
Sun 15,8.85,4.76,2.27,2.17,3.52,53.25
Sun 13,8.51,4.83,2.39,2.19,3.97,56.25
Wed 14,4.82,3.64,2.31,2.23,3.01,42.25
Thu 07,7.58,5.7,3.91,2.65,4.97,43.5
Fri 04,2.39,2.18,2.07,2.04,2.36,42.5
Mon 10,3.45,2.75,2.28,2.19,2.55,59.5
Sun 17,8.73,3.85,2.28,2.21,3.37,45.5
Tue 05,4.02,3.1,2.15,2.07,2.65,51.25
Thu 21,2.59,2.28,2.16,2.12,2.35,37.67
Sat 20,4.98,2.58,2.21,2.14,2.65,29.0
Sun 18,6.02,2.92,2.27,2.18,2.81,44.0
Sat 12,9.67,7.51,2.42,2.26,4.83,43.33
Mon 15,5.06,4.04,2.3,2.22,3.12,51.75
Sat 08,6.13,3.95,2.13,2.1,3.02,49.75
Sun 09,6.58,2.63,2.13,2.1,2.82,57.75
Wed 22,4.51,2.23,2.13,2.09,2.38,38.25
Wed 04,2.64,2.25,2.05,1.35,2.13,52.5
Thu 13,4.64,3.95,2.4,2.26,3.14,46.25
Thu 03,2.22,2.15,2.07,2.04,2.12,42.0
Mon 02,2.25,2.2,2.09,2.05,2.14,51.5
Sun 21,2.63,2.26,2.15,2.13,2.27,44.0
Mon 01,2.26,2.2,2.13,2.09,2.17,50.75
Tue 04,3.0,2.26,2.07,2.04,2.23,51.25
Tue 02,2.35,2.25,2.1,2.05,2.19,56.25
Sun 04,2.25,2.18,2.09,2.04,2.14,56.75
Thu 23,2.24,2.2,2.13,1.44,2.11,28.25
Sat 21,4.42,2.48,2.18,2.14,2.59,28.25
Tue 03,2.33,2.18,2.07,2.04,2.17,54.5
Wed 02,2.3,2.21,2.08,1.48,2.09,52.0
Wed 07,7.4,5.47,3.29,2.5,4.8,55.0
Sat 11,9.43,7.45,2.26,2.2,4.55,51.33
Tue 22,2.25,2.22,2.13,2.08,2.14,37.5
Fri 19,3.79,2.53,2.26,2.2,2.49,36.75
Wed 17,8.41,5.33,2.32,2.25,3.8,38.5
Mon 06,5.5,4.41,2.38,2.18,3.31,58.25
Sat 16,10.17,7.66,2.4,2.26,4.64,29.25
Thu 09,5.44,4.78,2.89,2.36,3.98,42.5
Sat 13,10.26,8.5,2.44,2.28,5.18,38.0
Thu 18,5.1,3.12,2.27,2.21,2.86,39.33
Tue 19,2.39,2.31,2.2,2.13,2.3,49.25
Thu 01,2.3,2.23,2.14,2.11,2.19,42.0
Mon 20,2.42,2.3,2.18,2.14,2.24,43.5
Sun 05,2.27,2.18,2.08,2.05,2.13,57.0
Tue 21,2.63,2.28,2.17,2.12,2.3,44.0
Mon 05,3.52,2.89,2.13,2.07,2.53,59.25
Wed 12,4.77,3.52,2.35,2.28,2.99,51.0
Sun 16,8.96,4.15,2.28,2.18,3.49,48.75
Thu 11,5.15,3.99,2.34,2.28,3.38,43.75
Mon 00,2.28,2.21,2.13,2.1,2.16,46.0
Fri 08,6.34,5.24,3.33,2.34,4.36,42.5
Sat 18,8.35,4.81,2.32,2.24,3.6,29.75
Fri 12,5.02,4.24,2.68,2.33,3.62,47.0
Thu 04,2.4,2.17,2.07,2.03,2.15,43.25
Fri 01,2.27,2.22,2.13,2.1,2.18,44.0
Wed 01,2.41,2.24,2.11,1.46,2.13,51.5
Wed 11,4.18,3.19,2.33,2.27,2.79,53.25
Sun 08,3.72,2.25,2.1,2.07,2.43,58.25
Mon 23,2.37,2.22,2.13,2.1,2.21,46.33
Sat 19,5.38,3.58,2.23,2.16,2.82,34.75
Sun 00,2.34,2.24,2.13,2.11,2.18,55.0
Tue 08,7.48,5.97,3.51,2.1,4.83,43.75
Fri 15,6.01,4.73,2.91,2.3,3.9,45.67
Wed 18,4.72,2.67,2.27,2.22,2.65,35.75
Mon 16,7.11,5.01,2.38,2.25,3.83,46.25
Wed 15,5.04,4.18,2.32,2.23,3.31,42.0
Sun 03,2.27,2.21,2.11,2.07,2.16,57.5
Tue 11,4.43,3.17,2.29,1.56,2.97,43.25
Fri 23,2.33,2.26,2.14,2.08,2.18,33.25
Sun 11,8.45,4.33,2.23,2.18,3.54,57.0
Sun 20,4.08,2.32,2.19,2.13,2.44,43.75
Sun 14,8.4,4.78,2.29,2.14,3.67,58.5
