time,95% travel time (26 weeks),80% travel time (26 weeks),20% travel time (26 weeks),5% travel time (26 weeks),avg travel time (26 weeks),all four weeks (avg sample count)
Sat 06,2.28,2.22,2.16,1.61,2.17,45.25
Wed 13,4.58,3.34,2.4,1.78,2.9,44.75
Sun 10,2.43,2.35,2.22,1.69,2.22,58.25
Sat 02,2.34,2.26,2.19,1.65,2.17,44.5
Tue 23,2.29,2.25,2.16,1.63,2.1,35.75
Wed 09,2.7,2.47,2.31,1.75,2.37,52.75
Wed 23,2.29,2.26,2.19,1.63,2.16,37.75
Thu 06,2.45,2.36,2.17,1.66,2.23,42.25
Fri 10,3.4,2.98,2.36,1.84,2.61,39.5
Sun 23,2.33,2.27,2.18,1.64,2.14,31.75
Fri 14,6.8,5.17,3.22,2.74,4.26,47.67
Sat 10,2.52,2.38,2.27,1.72,2.27,56.0
Sat 07,2.41,2.23,2.16,1.61,2.19,48.75
Thu 16,6.32,5.59,4.21,3.21,4.85,28.75
Sun 01,2.36,2.28,2.19,1.66,2.26,56.5
Thu 22,2.33,2.28,2.21,1.71,2.28,32.0
Sun 22,2.35,2.28,2.18,1.64,2.17,25.5
Mon 07,2.49,2.41,2.27,1.7,2.29,56.0
Thu 15,8.47,5.68,4.02,2.78,4.9,30.5
Sun 02,2.34,2.27,2.18,1.66,2.17,59.0
Mon 08,2.5,2.41,2.27,1.72,2.31,55.75
Fri 18,4.75,3.43,2.55,2.38,3.16,48.0
Sat 22,2.53,2.32,2.23,1.7,2.23,36.67
Sat 03,2.3,2.24,2.17,1.65,2.18,43.75
Wed 08,2.5,2.42,2.3,1.73,2.32,54.25
Wed 21,2.43,2.34,2.22,1.67,2.28,36.0
Thu 17,5.7,5.02,3.2,2.74,4.22,34.0
Sat 05,2.25,2.21,2.15,1.62,2.16,43.25
Fri 20,2.82,2.44,2.31,1.77,2.41,45.33
Sat 04,2.27,2.22,2.16,1.63,2.16,44.0
Fri 03,2.26,2.23,2.14,1.67,2.14,36.75
Tue 17,6.69,5.32,2.96,2.28,4.16,38.0
Sat 14,3.19,2.77,2.36,2.18,2.55,38.67
Fri 16,6.34,5.71,4.03,3.44,4.83,50.33
Tue 10,3.09,2.52,2.27,1.82,2.43,44.25
Tue 13,3.55,3.22,2.35,1.81,2.74,43.75
Thu 19,3.64,2.91,2.35,2.29,2.64,27.0
Tue 00,2.36,2.28,2.18,1.67,2.18,53.25
Mon 12,3.21,2.9,2.38,1.82,2.57,57.75
Fri 02,2.3,2.27,2.16,1.68,2.16,44.75
Mon 14,5.36,4.12,2.6,1.91,3.46,51.5
Wed 06,2.5,2.37,2.19,1.66,2.27,51.25
Fri 17,6.16,4.77,3.28,2.95,4.15,49.0
Fri 09,2.88,2.54,2.33,1.83,2.43,38.0
Sat 23,2.42,2.3,2.21,1.68,2.2,38.0
Thu 00,2.3,2.26,2.18,1.63,2.16,42.25
Tue 01,2.41,2.3,1.96,1.67,2.16,58.0
Sat 09,2.41,2.32,2.22,1.67,2.23,46.0
Thu 05,2.31,2.24,2.13,1.61,2.12,42.0
Wed 10,2.94,2.54,2.33,1.77,2.41,54.25
Sat 15,3.32,2.91,2.37,2.27,2.63,36.67
Tue 06,3.11,2.41,2.19,1.65,2.31,51.0
Tue 09,2.99,2.5,2.14,1.74,2.37,50.75
Mon 04,2.25,2.22,2.14,1.62,2.13,56.5
Thu 14,7.23,4.74,2.92,2.47,3.96,36.75
Tue 07,3.08,2.47,2.14,1.65,2.34,40.5
Fri 06,2.48,2.35,2.21,1.69,2.28,43.0
Fri 13,4.5,3.66,2.8,2.58,3.3,46.67
Tue 20,2.48,2.38,2.26,1.67,2.23,48.5
Mon 11,3.2,2.66,2.33,1.74,2.48,58.25
Sat 01,2.32,2.28,2.2,1.66,2.2,43.5
Mon 03,2.28,2.24,2.13,1.43,2.11,49.0
Thu 10,3.17,2.62,2.35,1.81,2.49,42.75
Fri 07,2.48,2.4,2.3,1.78,2.34,42.25
Wed 20,2.78,2.38,2.28,1.69,2.39,35.5
Thu 20,2.46,2.38,2.29,1.78,2.31,33.67
Mon 21,2.43,2.32,2.22,1.7,2.23,43.75
Tue 15,5.99,5.17,3.21,2.19,4.27,49.25
Thu 12,3.48,3.21,2.52,2.04,2.88,43.0
Sat 00,2.34,2.29,2.21,1.67,2.21,39.5
Sat 17,3.26,2.89,2.39,2.29,2.62,34.67
Wed 03,2.29,2.23,1.94,1.63,2.1,51.5
Wed 05,2.32,2.25,2.13,1.61,2.14,50.25
Sun 12,3.21,2.63,2.3,1.72,2.43,57.75
Mon 19,3.19,2.46,2.29,1.79,2.46,45.75
Fri 11,3.55,3.21,2.43,2.12,2.83,36.0
Sun 19,2.52,2.39,2.27,1.7,2.26,42.25
Fri 22,2.57,2.39,2.25,1.72,2.33,35.0
Mon 22,2.43,2.29,2.2,1.67,2.22,42.75
Wed 00,2.34,2.27,2.01,1.62,2.1,47.0
Fri 00,2.29,2.26,2.21,1.67,2.19,40.0
Tue 12,3.32,2.96,2.22,1.8,2.6,43.5
Tue 14,5.7,4.35,2.51,2.11,3.56,48.0
Mon 13,3.82,3.2,2.41,1.98,2.81,55.5
Mon 17,5.75,4.85,2.71,2.32,3.76,47.0
Mon 09,2.52,2.43,2.29,1.73,2.31,57.5
Thu 08,2.72,2.42,2.27,1.75,2.4,40.5
Sun 06,2.27,2.22,2.14,1.62,2.12,59.0
Fri 05,2.34,2.25,2.15,1.63,2.16,43.0
Tue 18,5.59,3.86,2.42,2.26,3.28,43.5
Tue 16,6.52,5.62,3.58,2.2,4.58,44.0
Wed 16,6.3,5.62,3.74,2.55,4.62,43.25
Fri 21,2.58,2.43,2.3,1.75,2.36,45.33
Mon 18,4.3,3.4,2.36,1.8,2.88,46.0
Thu 02,2.3,2.26,1.96,1.65,2.12,42.75
Wed 19,3.6,2.86,2.32,1.72,2.59,34.5
