time,95% travel time (26 weeks),80% travel time (26 weeks),20% travel time (26 weeks),5% travel time (26 weeks),avg travel time (26 weeks),all four weeks (avg sample count)
Sat 06,4.04,3.99,3.96,3.96,3.97,359.25
Wed 13,4.46,4.29,4.13,4.08,4.26,360.0
Sun 10,4.1,4.05,3.98,3.96,4.02,359.0
Sat 02,3.96,3.96,3.96,3.67,3.97,333.25
Tue 23,4.0,3.96,3.96,3.96,3.96,353.0
Wed 09,4.42,4.27,4.12,4.08,4.34,360.0
Wed 23,4.0,3.96,3.96,3.96,3.94,351.75
Thu 06,4.28,4.18,4.03,3.96,4.09,360.0
Fri 10,4.38,4.27,4.14,4.09,4.22,360.0
Sun 23,3.96,3.96,3.96,3.96,3.95,349.25
Fri 14,4.43,4.29,4.13,4.07,4.22,360.0
Sat 10,4.19,4.1,4.01,3.99,4.08,360.0
Sat 07,4.07,4.02,3.96,3.96,3.99,360.0
Thu 16,4.72,4.29,4.13,4.06,4.26,360.0
Sun 01,3.96,3.96,3.96,3.96,3.93,284.5
Thu 22,4.0,3.97,3.96,3.96,3.97,359.25
Sun 22,3.99,3.96,3.96,3.96,3.96,354.0
Mon 07,4.35,4.25,4.09,4.01,4.18,359.5
Thu 15,4.37,4.27,4.14,4.07,4.21,352.0
Sun 02,3.96,3.96,3.96,3.31,3.91,271.5
Mon 08,4.32,4.24,4.1,4.01,4.17,310.5
Fri 18,4.55,4.18,4.05,4.02,4.15,360.0
Sat 22,4.04,3.98,3.96,3.96,3.92,335.5
Sat 03,3.98,3.96,3.96,3.31,3.96,326.25
Wed 08,4.37,4.26,4.13,4.08,4.28,360.0
Wed 21,4.02,3.99,3.96,3.96,3.95,360.0
Thu 17,4.86,4.29,4.11,4.04,4.27,360.0
Sat 05,4.0,3.96,3.96,3.96,3.96,354.75
Fri 20,4.05,4.01,3.97,3.96,3.99,360.0
Sat 04,4.01,3.96,3.96,3.96,3.96,349.5
Fri 03,4.02,3.96,3.96,3.96,3.96,341.75
Tue 17,4.81,4.33,4.07,4.0,4.26,337.5
Sat 14,4.19,4.09,4.01,3.99,4.09,360.0
Fri 16,4.92,4.33,4.13,4.08,4.3,360.0
Tue 10,4.31,4.23,4.1,3.96,4.19,360.0
Tue 13,4.36,4.25,4.11,3.98,4.19,360.0
Thu 19,4.09,4.05,3.98,3.97,4.02,360.0
Tue 00,4.0,3.96,3.96,3.96,3.94,337.75
Mon 12,4.31,4.24,4.1,4.01,4.15,360.0
Fri 02,3.96,3.96,3.96,3.96,3.93,324.5
