time,95% travel time (26 weeks),80% travel time (26 weeks),20% travel time (26 weeks),5% travel time (26 weeks),avg travel time (26 weeks),all four weeks (avg sample count)
Sat 06,3.39,3.34,3.31,3.31,3.33,359.25
Wed 13,3.76,3.65,3.51,3.47,3.6,360.0
Sun 10,3.43,3.39,3.33,3.32,3.37,359.0
Sat 02,3.31,3.31,3.31,3.31,3.32,345.25
Tue 23,3.36,3.31,3.31,3.31,3.32,357.75
Wed 09,3.71,3.61,3.47,3.43,3.55,360.0
Wed 23,3.36,3.31,3.31,3.31,3.3,359.25
Thu 06,3.62,3.54,3.35,3.31,3.43,360.0
Fri 10,3.75,3.64,3.5,3.45,3.58,360.0
Sun 23,3.31,3.31,3.31,3.31,3.31,353.5
Fri 14,3.85,3.69,3.52,3.45,3.62,360.0
Sat 10,3.57,3.46,3.38,3.35,3.43,360.0
Sat 07,3.43,3.37,3.31,3.31,3.35,360.0
Thu 16,4.47,3.84,3.57,3.46,3.93,360.0
Sun 01,3.31,3.31,3.31,3.31,3.31,297.5
Thu 22,3.37,3.33,3.31,3.31,3.32,360.0
Sun 22,3.34,3.31,3.31,3.31,3.31,360.0
Mon 07,3.76,3.59,3.44,3.34,3.57,359.5
Thu 15,4.24,3.77,3.56,3.48,3.7,352.0
Sun 02,3.31,3.31,3.31,3.31,3.3,295.5
Mon 08,3.69,3.6,3.45,3.35,3.52,310.5
Fri 18,3.77,3.55,3.4,3.36,3.5,360.0
Sat 22,3.38,3.34,3.31,3.31,3.33,337.5
Sat 03,3.31,3.31,3.31,3.31,3.32,334.0
Wed 08,3.75,3.61,3.48,3.41,3.6,360.0
Wed 21,3.39,3.35,3.31,3.31,3.31,360.0
Thu 17,4.94,3.93,3.46,3.38,3.78,360.0
Sat 05,3.39,3.31,3.31,3.31,3.32,347.25
Fri 20,3.43,3.38,3.32,3.31,3.36,360.0
Sat 04,3.37,3.31,3.31,3.31,3.33,333.75
Fri 03,3.36,3.31,3.31,3.31,3.32,332.25
Tue 17,5.22,4.06,3.44,3.33,3.9,337.5
Sat 14,3.54,3.46,3.39,3.36,3.44,360.0
Fri 16,4.18,3.81,3.54,3.46,3.71,360.0
Tue 10,3.69,3.6,3.46,3.32,3.53,360.0
Tue 13,3.7,3.63,3.5,3.34,3.56,360.0
Thu 19,3.44,3.41,3.34,3.32,3.38,360.0
Tue 00,3.32,3.31,3.31,3.31,3.31,344.25
Mon 12,3.67,3.6,3.47,3.38,3.51,360.0
Fri 02,3.35,3.31,3.31,3.31,3.31,330.5
Mon 14,3.81,3.67,3.5,3.42,3.59,360.0
Wed 06,3.63,3.55,3.38,3.33,3.47,360.0
Fri 17,4.2,3.74,3.47,3.41,3.64,360.0
Fri 09,3.68,3.61,3.48,3.42,3.54,360.0
Sat 23,3.33,3.31,3.31,3.31,3.31,337.5
Thu 00,3.36,3.31,3.31,3.31,3.29,350.25
Tue 01,3.31,3.31,3.31,3.31,3.33,328.75
Sat 09,3.53,3.45,3.35,3.33,3.41,360.0
Thu 05,3.5,3.42,3.31,3.31,3.35,360.0
Wed 10,3.68,3.61,3.47,3.42,3.55,360.0
Sat 15,3.53,3.45,3.38,3.35,3.43,359.5
Tue 06,3.95,3.59,3.37,3.31,3.53,360.0
Tue 09,3.73,3.62,3.46,3.31,3.54,360.0
Mon 04,3.42,3.36,3.31,3.31,3.33,348.0
Thu 14,3.87,3.67,3.52,3.46,3.62,345.0
Tue 07,5.04,3.68,3.45,3.31,3.71,360.0
Fri 06,3.61,3.54,3.38,3.34,3.46,360.0
Fri 13,3.81,3.68,3.52,3.46,3.6,360.0
Tue 20,3.41,3.37,3.32,3.31,3.35,360.0
Mon 11,3.69,3.6,3.46,3.37,3.51,285.0
Sat 01,3.31,3.31,3.31,3.31,3.31,353.25
Mon 03,3.35,3.31,3.31,3.31,3.32,315.25
Thu 10,3.72,3.61,3.48,3.4,3.55,360.0
Fri 07,3.68,3.6,3.46,3.39,3.53,360.0
Wed 20,3.4,3.37,3.32,3.31,3.32,360.0
Thu 20,3.4,3.37,3.33,3.31,3.37,360.0
Mon 21,3.38,3.34,3.31,3.31,3.33,360.0
Tue 15,4.02,3.77,3.53,3.34,3.67,360.0
Thu 12,3.73,3.64,3.51,3.46,3.58,360.0
Sat 00,3.33,3.31,3.31,3.31,3.31,357.75
Sat 17,3.48,3.44,3.36,3.33,3.41,360.0
Wed 03,3.36,3.31,3.31,3.31,3.32,338.25
Wed 05,3.53,3.43,3.31,3.31,3.38,359.25
Sun 12,3.58,3.45,3.36,3.34,3.42,358.5
Mon 19,3.42,3.38,3.33,3.32,3.36,360.0
Fri 11,3.74,3.66,3.53,3.48,3.6,360.0
Sun 19,3.41,3.37,3.32,3.31,3.34,360.0
Fri 22,3.39,3.34,3.31,3.31,3.33,360.0
Mon 22,3.38,3.32,3.31,3.31,3.33,360.0
Wed 00,3.31,3.31,3.31,3.31,3.31,350.25
